key,sample_s1,s1_with_candidates,coverage,total_candidate_pairs,mean_candidates_per_s1,median_candidates_nonzero,p90_candidates_nonzero,p95_candidates_nonzero,max_candidates_per_s1,s1_over_cap,max_s2_block,max_s3_block
address_norm,44116,13079,0.29646840148698883,22138,0.5018134010336386,1.0,3.0,4.0,23,0,31,35
address_sorted_signal,44116,18340,0.4157221869616466,33342,0.755780215794723,1.0,3.0,4.0,26,0,40,85
address_first3_signal,44116,31997,0.7252924109166742,328914,7.4556623447275365,2.0,11.0,26.0,2948,0,1511,1437
sorted_name,44116,38079,0.8631562244990479,1478605,33.51629794178983,4.0,89.0,176.0,1194,0,7178,3919
name_norm,44116,39147,0.8873651282981231,1516523,34.37580469670868,4.0,76.0,165.0,1416,0,747,669
first_last,44116,39710,0.9001269380723547,6415907,145.43265481911325,8.0,237.0,1188.5499999999956,5942,0,7178,4405
boundary,44116,40994,0.9292320246622541,7334318,166.25074802792636,13.0,329.0,1152.0,8945,0,4150,4795
address_boundary,44116,33684,0.763532505213528,20690335,468.9984359416085,4.0,1090.0,3831.0,14322,0,13068,6593
address_digits,44116,40221,0.9117100371747212,94402661,2139.8735379454165,265.0,6942.0,11308.0,38852,894,17212,21640
first_token,44116,44098,0.9995919847674313,266322237,6036.862748209266,1915.0,15953.0,20409.0,91387,2436,40507,50880
last_token,44116,44078,0.9991386345090216,1867408813,42329.51339650014,7380.0,87109.0,237763.0,537875,10519,246138,291737
