strategy,cap,mean_entity_recall,global_pair_recall,entity_coverage,candidate_pairs_sample,mean_candidates_per_s1,median_nonzero,p90_nonzero,p95_nonzero,max_candidates_per_s1
first_token_cap+digit_fallback,100,0.5178910069227993,0.5178910069227993,0.7856731599654544,562196,12.743585093843503,4.0,55.0,78.0,263
first_token_cap+digit_fallback,250,0.56903441713967,0.56903441713967,0.8171240763842241,1604263,36.3646522803518,9.0,142.0,180.0,263
first_token_cap+digit_fallback,500,0.5883657600314971,0.5883657600314971,0.8296948469436715,2476355,56.1328089582011,14.0,193.0,288.0,500
first_token_cap+digit_fallback,1000,0.601056465107123,0.601056465107123,0.8377315036944631,3717629,84.26940339105994,19.0,271.0,480.54999999999563,998
first_token_cap+digit_fallback,2000,0.6150923586731848,0.6150923586731848,0.8452643700220708,6596350,149.52284885302385,28.0,463.0,964.0,2000
first_token_cap+digit_fallback,5000,0.6318055054299682,0.6318055054299682,0.8558679589290855,14775906,334.9330401668329,43.0,1097.0,2297.0,4992
first_token_cap+digit_fallback,10000,0.678919912070606,0.678919912070606,0.9069427118318779,78498805,1779.3726765799256,136.0,7261.0,7869.0,9962
last_token_cap+digit_fallback,100,0.3453066045473933,0.3453066045473933,0.6656510891469148,1195503,27.09907969897543,3.0,50.0,93.0,4440
last_token_cap+digit_fallback,250,0.3499589881557794,0.3499589881557794,0.6707369734190577,1333411,30.22511107081331,3.0,69.0,142.0,4440
last_token_cap+digit_fallback,500,0.35387643951573217,0.35387643951573217,0.6752710872277132,1612908,36.56061292954937,3.0,91.0,214.0,4440
last_token_cap+digit_fallback,1000,0.3609239148266019,0.3609239148266019,0.682803953555321,2569196,58.23728352525161,4.0,165.0,485.0,4440
last_token_cap+digit_fallback,2000,0.4162406903113619,0.4162406903113619,0.7292246425486998,15529551,352.01629794178984,24.0,1322.0,1419.0,4440
last_token_cap+digit_fallback,5000,0.43739624003412186,0.43739624003412186,0.7488244890125708,27853149,631.3616148336205,77.5,2143.0,2979.0,4948
last_token_cap+digit_fallback,10000,0.46097969093474195,0.46097969093474195,0.7714710680356972,62073530,1407.0525432949496,650.0,5398.0,7961.0,9980
