key,mean_entity_recall,global_pair_recall,entity_coverage
name_norm__addr_digits,0.23497871811733245,0.23559828078349027,0.5341138086555993
sorted_name__addr_digits,0.24866355942248372,0.24936513665146495,0.5427022358698781
first_token__addr_digits,0.44343527897589413,0.4448243052593589,0.7378130697629786
first_last__addr_digits,0.2631273044093311,0.26443780963942387,0.5597591401976778
last_token__addr_digits,0.3240980462084483,0.32704485055283966,0.6491219652624508
name_norm__addr_first3,0.15656391962588584,0.15754453886282357,0.39773054409365705
sorted_name__addr_first3,0.16586210006767055,0.1670724105121559,0.40878994338355246
first_token__addr_first3,0.3004180027342392,0.3025164867613767,0.5918577871605412
first_last__addr_first3,0.1751692092626264,0.176705272482693,0.42354380577679684
name_norm__addr_norm,0.04211227263657453,0.04228485186521867,0.12777084732751176
