key,s1_with_candidates,coverage,candidate_pairs_sample,mean_candidates_per_s1,median_nonzero,p90_nonzero,p95_nonzero,max_candidates_per_s1,max_s2_block,max_s3_block
name_norm__addr_digits,22419,0.5081829721642941,36413,0.8253921479735243,1.0,3.0,3.0,9,6,7
sorted_name__addr_digits,22778,0.5163206093027473,38538,0.8735606129295493,1.0,3.0,4.0,9,6,5
first_token__addr_digits,33078,0.7497959923837156,172794,3.9168102275818297,2.0,10.0,20.0,263,117,150
first_last__addr_digits,23820,0.5399401577658899,43112,0.9772418170278357,1.0,3.0,4.0,30,14,17
last_token__addr_digits,31952,0.7242723728352525,1097207,24.870953848943692,2.0,34.0,92.44999999999709,4440,1765,2675
name_norm__addr_first3,16597,0.3762127119412458,24039,0.5449043430954755,1.0,2.0,3.0,7,5,4
sorted_name__addr_first3,17055,0.3865944328588267,25492,0.5778402393689365,1.0,3.0,3.0,7,5,4
first_token__addr_first3,24853,0.5633556986127483,46962,1.0645117417716927,2.0,3.0,4.0,16,9,7
first_last__addr_first3,17688,0.40094296853749206,26999,0.6120001813401034,1.0,3.0,3.0,7,5,5
name_norm__addr_norm,5326,0.12072717381448908,6444,0.14606945325958837,1.0,2.0,2.0,5,5,1
